"統一編號","公司名稱","負責人","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"50834885","肉跟湯餐飲有限公司","吳O傑","臺中市北區五常里五義街153號1樓","500000"," "," ","核准設立","20260901033610"
"50834956","大判燒實業有限公司","李O芬","臺中市西區後龍里民權路233巷7號2樓","100000"," "," ","核准設立","20260901033610"
"50835152","新天食庫文創股份有限公司","楊O榮","臺中市西屯區惠來里惠來路三段188號1樓","10000000","1500000"," ","核准設立","20260901033610"
"50835287","華典國際有限公司","","臺中市南屯區溝墘里大業路241號3樓之1","2000000"," "," ","解散","20260901033610"
"50835358","宇珏室內裝修有限公司","黃O洲","臺中市西屯區何仁里重慶路289之9號10樓","2000000"," "," ","核准設立","20260901033610"
"50835408","群超有限公司","江O彬","臺中市后里區中和里公安路145巷23號1樓","5000000"," "," ","核准設立","20260901033610"
"50835625","阿鴻大灶雞有限公司","呂O鴻","臺中市北屯區廍子路168號","300000"," "," ","核准設立","20260901033610"
"50835701","群群建設有限公司","","臺中市南區樹義里文心南路901巷58號1樓","25000000"," "," ","解散","20260901033610"
"50835717","食態股份有限公司","陳O辰","臺中市潭子區合作街86巷1號1樓","500000","500000"," ","核准設立","20260901033610"
"50835809","橙宿股份有限公司","陳O文","臺中市中區綠川里綠川西街123號8樓之1、9樓之1、10樓之1、11樓之1、12樓之1","20000000","20000000"," ","核准設立","20260901033610"
"50835913","金布丹中央山脈生物科技有限公司","莊O窈","臺中市烏日區三和里中山路三段297號1樓","500000"," "," ","核准設立","20260901033610"
"50835940","永新瓦國際股份有限公司","王O政","臺中市北屯區仁和里崇德十路二段216號","10000000","8000000"," ","核准設立","20260901033610"
"50836032","慢慢來國際有限公司","","臺中市南區樹德里22鄰德富路78之2號4樓之2","1000000"," "," ","解散","20260901033610"
"50836194","食創國際有限公司","林O宏","臺中市北區頂厝里衛道路240之5號2樓","1000000"," "," ","核准設立","20260901033610"
"50836292","勇敢貓有限公司","","臺中市西區忠明里館前路6號","500000"," "," ","解散","20260901033610"
"50836378","弘利國際有限公司","蕭O馨","臺中市大里區國光里國光路二段190號","500000"," "," ","核准設立","20260901033610"
"50836693","品月容國際有限公司","黃O玶","臺中市南屯區益豐路三段339之11號1樓","5000000"," "," ","核准設立","20260901033610"
"50836700","時敘里有限公司","鄭O皇","臺中市西屯區龍潭里聖王街88號1樓","9800000"," "," ","核准設立","20260901033610"
"50836716","臻膳仁生醫股份有限公司","莊O杰","臺中市大里區仁化里仁美路35巷12號1樓","29900000","14400000"," ","核准設立","20260901033610"
"50836722","綠萼國際有限公司","王O萍","臺中市北屯區山西路三段159號1樓","5000000"," "," ","核准設立","20260901033610"
"50836743","良品國際有限公司","林O蓉","高雄市苓雅區中華四路2號13樓","2770000"," "," ","核准設立","20260901033610"
"50836862","和源餐廳有限公司","彭O庭","臺中市西區後龍里民權路223之1號","2100000"," "," ","核准設立","20260901033610"
"50837010","萬浤股份有限公司","","臺中市南屯區寶山里工業20路6號2樓","500000","500000"," ","解散","20260901033610"
"50837145","國承管理顧問股份有限公司","曾O成","臺中市北屯區建和路二段275號","12000000","12000000"," ","核准設立","20260901033610"
"50837258","鵝房壽司企業有限公司","巫O","臺中市北屯區仁美里豐樂路10之12巷46號1樓","500000"," "," ","核准設立","20260901033610"
"50837460","喜多多股份有限公司","張O卿","臺中市沙鹿區光華路302巷9號","10000000","10000000"," ","核准設立","20260901033610"
"50837497","靖泰鄉土味有限公司","","臺中市西屯區福科路219號","3000000"," "," ","解散","20260901033610"
"50837503","泰睿國際有限公司","劉O楠","臺中市西屯區中科路1669號","1000000"," "," ","核准設立","20260901033610"
"50837551","品法餐飲有限公司","黄O彥","彰化縣彰化市復興里中山路3段276巷42號1樓","1000000"," "," ","核准設立","20260901033610"
"50837588","興和事業有限公司","","臺中市西屯區大安西街60巷3號1樓","1000000"," "," ","解散","20260901033610"
"50837692","大波茶國際股份有限公司","邵O霖","臺中市西屯區工業區九路26號2樓","10000000","10000000"," ","核准設立","20260901033610"
"50837790","晚上見實業股份有限公司","林O祥","臺中市西屯區中平路1167號","19500000","19500000"," ","核准設立","20260901033610"
"50837876","帝祐有限公司","","臺南市安平區郡平路188號13樓之3","300000"," "," ","解散","20260901033610"
"50837882","熊爺串燒有限公司","","臺中市南屯區文心里向上路五段130號1樓","600000"," "," ","解散","20260901033610"
"50838101","肉多多進化有限公司","","臺中市北區錦村里進化路280號","200000"," "," ","解散","20260901033610"
"50838263","漫旅國際管理顧問有限公司","陳O裕","臺中市北區錦祥里錦祥街22號1樓","6000000"," "," ","核准設立","20260901033610"
"50838566","富加國際股份有限公司","林O凱","臺中市東區東橋里建智街50號1樓","1000000","1000000"," ","核准設立","20260901033610"
"50838735","滄龍發國際貿易股份有限公司","","臺中市南區忠明南路758號14樓"," ","1351000"," ","解散","20260901033610"
"50838762","丞藺有限公司","","臺中市南屯區大業里大昌街443號1樓","500000"," "," ","解散","20260901033610"
"50838799","富緹仕國際有限公司","","臺中市南區三民西路266號17樓之2","800000"," "," ","解散","20260901033610"
"50839050","啟富國際精品有限公司","","臺中市北屯區平順里昌平路一段388號9樓之2","50000"," "," ","解散","20260901033610"
"50839093","寶騏不動產開發股份有限公司","湯O騏","臺中市南區福順里忠明南路801號15樓之2","12168000","12168000"," ","核准設立","20260901033610"
"50839116","中曜餐飲有限公司","","臺中市北區博館路55號1樓","1000000"," "," ","解散","20260901033610"
"50839158","角馬三八八有限公司","陳O德","臺中市西屯區臺灣大道三段388號1樓","4380000"," "," ","核准設立","20260901033610"
"50839376","上佑宜有限公司","","臺中市南區有恆街136巷14號1樓","250000"," "," ","解散","20260901033610"
"50839517","台灣米好食光餐飲有限公司","","臺中市北屯區興安路二段19號七樓之2","2000000"," "," ","解散","20260901033610"
"50839586","晨風超市有限公司","曾O圳","臺中市太平區新福十六街68號","35000000"," "," ","核准設立","20260901033610"
"50839707","上騰博思顧問有限公司","","臺中市西區民龍里臺灣大道二段186號七樓之3","1000000"," "," ","解散","20260901033610"
"50839777","詠林國際有限公司","林O慶","臺中市南屯區豐樂里文心南三路839號1樓","100000"," "," ","核准設立","20260901033610"
"50839880","久揚實業股份有限公司","洪O明","臺中市梧棲區永安里向上路九段381巷12號","60000000","60000000"," ","核准設立","20260901033610"
"50840367","禾業旅館管理顧問有限公司","劉O璇","臺中市南區德富路122號11樓之2","50000"," "," ","核准設立","20260901033610"
"50840388","大勝林園有限公司","林O貞","臺中市西屯區環中路二段1342之1號","200000"," "," ","核准設立","20260901033610"
"50840401","台普融通有限公司","陳O章","臺中市清水區臨江里中央路99之58號","15000000"," "," ","核准設立","20260901033610"
"50840514","詠誠開發有限公司","","新北市新店區復興路10之1號3樓之10","100000"," "," ","廢止","20260901033610"
"50840520","正正粥麵廚房有限公司","","新北市三芝區長勤街100號","3500000"," "," ","解散","20260901033610"
"50840654","源上草精品有限公司","","新北市林口區三民路124號","1000000"," "," ","解散","20260901033610"
"50841056","阿部拉國際有限公司","蔡O真","新北市五股區五福路14巷19號2樓","610000"," "," ","核准設立","20260901033610"
"50841133","三竹有限公司","","新北市板橋區懷仁街66號","100000"," "," ","廢止","20260901033610"
"50841175","波賽頓有限公司","林O聰","臺北市信義區富陽街33號地下1樓之6","1000000"," "," ","核准設立","20260901033610"
"50841247","大中華餐飲股份有限公司","","新北市三峽區國際一街23之1號3樓","1000000","1000000"," ","解散","20260901033610"
"50841289","潤霖國際有限公司","林O玉","新北市中和區中山路3段118之18號10樓之5","1000000"," "," ","核准設立","20260901033610"
"50841318","馨安養生事業有限公司","黃O","新北市林口區中北一街87號8樓","1000000"," "," ","核准設立","20260901033610"
"50841371","布拉森有限公司","周O宇","新北市新莊區福樂街88巷19號(1樓)","1000000"," "," ","核准設立","20260901033610"
"50841491","良慢餐飲有限公司","","新北市永和區永貞路79號","200000"," "," ","解散","20260901033610"
"50841555","翊隆有限公司","劉O章","臺北市文山區景中街30巷6號1樓","6000000"," "," ","核准設立","20260901033610"
"50841561","盛合國際餐飲股份有限公司","李O孝","新北市蘆洲區信義路266巷24弄5號3樓","2600000","2600000"," ","核准設立","20260901033610"
"50841611","慶源有限公司","陳O華","新北市三重區五谷王北街86號","1000000"," "," ","核准設立","20260901033610"
"50841915","誇樂有限公司","","臺北市大安區安和路2段167號","3000000"," "," ","解散","20260901033610"
"50842007","北頂國際企業管理顧問有限公司","陳O哲","新北市三重區長榮路9號","5000000"," "," ","核准設立","20260901033610"
"50842111","清之國食品有限公司","陳O敏","新北市新店區安興路127之3號(1樓)","14000000"," "," ","核准設立","20260901033610"
"50842132","港口有限公司","","新北市中和區和平街29之1號","1800000"," "," ","解散","20260901033610"
"50842180","宜霈股份有限公司","簡O光","臺北市信義區松德路171號13樓之1","10000000","10000000"," ","核准設立","20260901033610"
"50842294","上泊有限公司","張O櫻","新北市新店區中興路1段105號","1000000"," "," ","核准設立","20260901033610"
"50842885","欽天企業有限公司","吳O欽","新北市三峽區學勤路188之3號17樓","5100000"," "," ","核准設立","20260901033610"
"50843033","膳芯園有限公司","","新北市永和區竹林路209號(1樓)、2樓","1000000"," "," ","解散","20260901033610"
"50843097","雞掌櫃有限公司","蔡O秀","新北市三重區三和路3段44之1號(1樓)","2500000"," "," ","核准設立","20260901033610"
"50843147","龍贊食品有限公司","","宜蘭縣冬山鄉協松路598號4樓","10000"," "," ","解散","20260901033610"
"50843173","酷毛寵物事業有限公司","葉O樺","新北市林口區文化三路2段115巷66、68號","3500000"," "," ","核准設立","20260901033610"
"50843717","亦斯企業有限公司","","臺北市內湖區康寧路3段16巷94號","6000000"," "," ","廢止","20260901033610"
"50843842","金合成風管工程有限公司","黃O銘","新北市八里區龍米路2段228之2號6樓","660000"," "," ","核准設立","20260901033610"
"50845004","相睿國際有限公司","","新北市新莊區中原東路192之1號9樓","6000000"," "," ","解散","20260901033610"
"50845010","一個人的披薩有限公司","","新北市淡水區清水街22號","500000"," "," ","解散","20260901033610"
"50845308","德聚仁合股份有限公司","陳O忠","新北市板橋區和平路14巷3號","11000000","11000000"," ","核准設立","20260901033610"
"50845362","伍玖七實業有限公司","","新北市中和區連城路23巷5號(1樓)","300000"," "," ","廢止","20260901033610"
"50845454","貝納德國際有限公司","","新北市蘆洲區長安街51號4樓","400000"," "," ","廢止","20260901033610"
"50845481","樂知禮房食品有限公司","","新北市淡水區新市一路3段162號(1樓)","2200000"," "," ","解散","20260901033610"
"50845721","扎拉秀美食有限公司","蕭O立","新北市林口區文化三路1段171號","5030000"," "," ","核准設立","20260901033610"
"50845784","昀苑工作坊有限公司","","新北市三芝區車埕15之1號","500000"," "," ","解散","20260901033610"
"50845829","晟德食品有限公司","蔡O如","新北市五股區成泰路3段199號(1樓)","600000"," "," ","核准設立","20260901033610"
"50845876","五四三廚房有限公司","","臺北市中正區中華路1段59號9樓","500000"," "," ","解散","20260901033610"
"50845980","好鑫勤有限公司","","新北市永和區永和路2段242號(1、2樓)","500000"," "," ","解散","20260901033610"
"50846019","台灣新食潮餐飲股份有限公司","","新北市鶯歌區重慶街88號地下一層","1000000","1000000"," ","解散","20260901033610"
"50846088","皇宴有限公司","","新北市新莊區後港一路145號(2樓)","500000"," "," ","解散","20260901033610"
"50846398","福鑫餐飲有限公司","","新北市新莊區中信街66號5樓之1","250000"," "," ","解散","20260901033610"
"50846427","霸味美食王有限公司","林O璇","新北市三重區重新路5段646號9樓之1","3200000"," "," ","核准設立","20260901033610"
"50846741","協發行國際食品有限公司","吳O","金門縣金城鎮西門里莒光路120號","2000000"," "," ","核准設立","20260901033610"
"50846799","寶勢國際開發有限公司","","新北市蘆洲區中原路55號","200000"," "," ","廢止","20260901033610"
"50847713","智貿流通美食有限公司","林O香","新北市三重區三陽路2號10樓","1000000"," "," ","核准設立","20260901033610"
"50847827","晨元國際有限公司","金O順 KIM YOUNG SOON","新北市五股區五權八路39號","5625000"," "," ","核准設立","20260901033610"
"50847874","肉多多樹林有限公司","","新北市樹林區中山路1段146號","200000"," "," ","解散","20260901033610"
"50847967","東意實業有限公司","陳O賢","臺北市松山區市民大道6段139號4樓之13","2100000"," "," ","核准設立","20260901033610"
"50848092","大頂建設有限公司","李O芬","新北市蘆洲區民族路125號","10000000"," "," ","核准設立","20260901033610"
"50848163","超越專業清潔有限公司","游O賢","新北市三重區自強路3段14號(1樓)","3000000"," "," ","核准設立","20260901033610"
"50848282","福霖宴會有限公司","","新北市新莊區立信一街31號3樓","1000000"," "," ","解散","20260901033610"
"50848311","金水餐飲股份有限公司","","新北市泰山區仁愛路6巷4弄19號8樓","1000000","1000000"," ","解散","20260901033610"
"50848369","佩思有限公司","","臺北市中山區松江路122號11樓","1000000"," "," ","解散","20260901033610"
"50848467","大煮廚食品有限公司","王O大","新北市新莊區中正路558之12號","16300000"," "," ","核准設立","20260901033610"
"50848971","庭丞國際實業有限公司","","新北市三重區三和路4段300巷30號(1樓)","1200000"," "," ","解散","20260901033610"
"50848993","邁兆食品有限公司","李O諠","新北市新店區北宜路1段12號(1樓)","2000000"," "," ","核准設立","20260901033610"
"50849304","亦茗卉不凡工藝有限公司","","桃園市中壢區龍岡路三段37巷54號","1000000"," "," ","解散","20260901033610"
"50849402","華愛同心國際有限公司","蕭O棠","新北市三重區重陽路4段130號12樓","10000000"," "," ","核准設立","20260901033610"
"50849584","諄陽國際有限公司","譚O姿","新北市中和區民有街60號","5000000"," "," ","核准設立","20260901033610"
"50849590","橘利股份有限公司","","新北市蘆洲區中原路11號(1樓)","3000000","3000000"," ","解散","20260901033610"
"50850033","奇魁智能科技股份有限公司","張O凱","新北市中和區員山路466巷21弄6號","1000000","1000000"," ","核准設立","20260901033610"
"50850218","緣蓉有限公司","","新北市板橋區新海路108號","1000000"," "," ","解散","20260901033610"
"50850343","艾凱創意行銷股份有限公司","蔡O原","新北市新莊區中原路518號9樓之2","5000000","5000000"," ","核准設立","20260901033610"
"50850548","寬盈國際企業股份有限公司","","新北市泰山區明志路1段20之5號6樓","5000000","5000000"," ","廢止","20260901033610"
"50850694","非煮不可餐飲有限公司","","新北市新店區三民路169號(1樓)","300000"," "," ","解散","20260901033610"
"50850786","帛樂餐飲有限公司","巫O泰","新北市新店區中央路117號","2500000"," "," ","核准設立","20260901033610"
"50850809","琉璃花園企業有限公司","","新北市樹林區中華路116號（1樓）","200000"," "," ","解散","20260901033610"
"50850857","明桓投資控股有限公司","李O桓","新北市中和區圓通路56號2樓之4","500000"," "," ","核准設立","20260901033610"
"50851321","石都府鍋物有限公司","","新北市新莊區八德街23號","450000"," "," ","解散","20260901033610"
"50851384","明洞國際企業有限公司","","新北市板橋區四川路1段20號","1000000"," "," ","解散","20260901033610"
"50851407","萬昌餐飲有限公司","江O婷","新北市蘆洲區長榮路37號(1樓)、2樓","1000000"," "," ","核准設立","20260901033610"
"50851552","尚官餐飲有限公司","張O智","新北市板橋區文化路1段71號、71號2樓","1000000"," "," ","核准設立","20260901033610"
"50851639","旺旺餐飲有限公司","柯O彤","新北市淡水區民權路89號","500000"," "," ","核准設立","20260901033610"
"50851820","藝道國際策展有限公司","","新北市新莊區雙鳳路72號(1樓)","500000"," "," ","解散","20260901033610"
"50851877","劍新有限公司","邱O煌","新北市汐止區新台五路1段96號","4200000"," "," ","核准設立","20260901033610"
"50852052","御廚坊餐飲事業有限公司","陳O德","新北市鶯歌區永明街133號","1000000"," "," ","核准設立","20260901033610"
"50852356","品熏有限公司","","新北市永和區國光路81號","700000"," "," ","解散","20260901033610"
"50852736","躍昌資訊有限公司","","臺北市信義區信安街119之1號1樓","300000"," "," ","廢止","20260901033610"
"50852861","聖保羅林口有限公司","","新北市林口區文化三路1段402巷2號6樓","1000000"," "," ","解散","20260901033610"
"50852975","燴展國際餐飲企業有限公司","蘇O棟","臺北市南港區經貿二路1號3樓","1000000"," "," ","核准設立","20260901033610"
"50853236","宏盛創新國際有限公司","古O琦","新北市淡水區新春街173號7樓","1000000"," "," ","核准設立","20260901033610"
"50853279","糖糖食品有限公司","","新北市樹林區大安路592號4樓","700000"," "," ","解散","20260901033610"
"50853427","亞洲原力生技有限公司","","新北市林口區忠孝一路13號4樓","1000000"," "," ","解散","20260901033610"
"50853539","悅澤旅館事業股份有限公司","朱O曉","新北市三重區三和路4段107之1號","292500000","292500000"," ","核准設立","20260901033610"
"50853550","尚誠國際有限公司","王O仁","新北市五股區五權路9號6樓","29000000"," "," ","核准設立","20260901033610"
"50854050","羱蒝生技實業有限公司","謝O楗","新北市林口區文化三路2段306號15樓之3","1000000"," "," ","核准設立","20260901033610"
"50854122","春夏秋冬韓食館有限公司","","新北市永和區中和路607號(1樓)","1200000"," "," ","解散","20260901033610"
"50854642","台灣谷季股份有限公司","林O穗","新北市五股區五工三路116巷9號","323894200","163506000"," ","核准設立","20260901033610"
"50854684","冠毅食品有限公司","","新北市淡水區中山路174號(1樓)","1000000"," "," ","解散","20260901033610"
"50855282","阿妹茶樓有限公司","李O","新北市瑞芳區輕便路135號","1000000"," "," ","核准設立","20260901033610"
"50855369","肉多多淡水有限公司","","新北市淡水區中正路53號2樓、55號2樓","200000"," "," ","解散","20260901033610"
"50855419","岬岬股份有限公司","","新北市新店區民權路133號","3500000","3500000"," ","解散","20260901033610"
"50855473","宇多倉事務國際貿易有限公司","","新北市樹林區中山路1段41號2樓","1000000"," "," ","解散","20260901033610"
"50855537","宏品工程技術顧問有限公司","林O宏","新北市板橋區忠孝路48巷28號(1樓)","1000000"," "," ","核准設立","20260901033610"
"50855585","昊聖企業股份有限公司","","新北市蘆洲區三民路291之1號","3000000","3000000"," ","解散","20260901033610"
"50855620","鵬越國際開發有限公司","彭O雋","新北市永和區文化路90巷27弄7號5樓","1000000"," "," ","核准設立","20260901033610"
"50855683","麻津家實業有限公司","呂O美","新北市五股區成洲一路21號15樓","3000000"," "," ","核准設立","20260901033610"
"50855797","全隆順有限公司","","新北市板橋區館前西路2號4樓","220000"," "," ","解散","20260901033610"
"50855852","慈芯國際有限公司","蘇O傑","新北市板橋區大觀路3段160巷25弄3號5樓","100000"," "," ","核准設立","20260901033610"
"50855924","約素話有限公司","約O夫","臺北市中山區南京東路1段25號9樓之1","534802"," "," ","核准設立","20260901033610"
"50856037","小食光食品有限公司","簡O洋","臺北市松山區八德路4段287號1樓","200000"," "," ","核准設立","20260901033610"
"50856108","捷食飲食品有限公司","陳O伸","新北市板橋區雙十路2段211號22樓","2000000"," "," ","核准設立","20260901033610"
"50856310","松果樂饌有限公司","","新北市板橋區民生路3段66號","250000"," "," ","解散","20260901033610"
"50856579","三揚新創股份有限公司","","新北市三重區後竹圍街274號2樓","6500000","6500000"," ","解散","20260901033610"
"50856753","十方水有限公司","","新北市三重區中正北路364號","2800000"," "," ","解散","20260901033610"
"50856819","聖玄食品有限公司","趙O淇","新北市瑞芳區三爪子坑路13巷47號(1樓)","5000000"," "," ","核准設立","20260901033610"
"50856846","美膳家有限公司","","新北市三峽區國際一街80號(1樓)","1000000"," "," ","廢止","20260901033610"
"50857036","鍋媽有限公司","","新北市土城區裕民路100號","500000"," "," ","解散","20260901033610"
"50857057","極米有限公司","程O茵","新北市蘆洲區中山二路196巷41號(1樓)","1000000"," "," ","核准設立","20260901033610"
"50857107","青山興業股份有限公司","吳O青","新北市林口區文化二路1段266號13樓之1","540000000","481000000"," ","核准設立","20260901033610"
"50857198","長亨工程有限公司","","新北市永和區永亨路172號","200000"," "," ","解散","20260901033610"
"50857205","亞聯網路股份有限公司","","新北市三重區中正南路109號","1000000","1000000"," ","解散","20260901033610"
"50857330","品意團膳事業有限公司","","臺北市中正區忠孝東路1段49巷17號","100000"," "," ","解散","20260901033610"
"50857606","田園開發有限公司","彭O洧","新北市三重區集美街142號","500000"," "," ","核准設立","20260901033610"
"50857789","歐花朵大安股份有限公司","","臺北市大安區延吉街160巷3號","340000","340000"," ","解散","20260901033610"
"50858099","夏風有限公司","SOIMOYAMA   HIDEYUKI","臺北市大安區忠孝東路3段251巷3弄1號","500000"," "," ","核准設立","20260901033610"
"50858210","酒窩酒藏有限公司","","臺北市大安區忠孝東路4段126之14號","300000"," "," ","解散","20260901033610"
"50858247","晞品國際有限公司","","新北市板橋區信義路24號","500000"," "," ","解散","20260901033610"
"50858838","聞瑋有限公司","","臺北市中山區中山北路1段135巷1號1樓","500000"," "," ","解散","20260901033610"
"50858936","愉快有限公司","","臺北市大同區長安西路287號6樓之9","100000"," "," ","解散","20260901033610"
"50859007","捷益信貿易有限公司","邱O祺","臺北市士林區中正路334號1樓","1500000"," "," ","核准設立","20260901033610"
"50859029","寧百悅有限公司","","臺北市大同區萬全街1之6號","1000000"," "," ","解散","20260901033610"
"50859196","新一天餐飲有限公司","","臺北市中山區撫順街9號1樓","1900000"," "," ","解散","20260901033610"
"50859251","超級鐵支餐飲管理顧問有限公司","","臺中市西區大進街126號2樓之1","4000000"," "," ","廢止","20260901033610"
"50859323","祥麗食品股份有限公司","","臺北市中正區衡陽路10號12樓","500000","500000"," ","解散","20260901033610"
"50859338","日亞特選名物股份有限公司","楊O碩","臺北市大安區仁愛路3段30號8樓","22000000","22000000"," ","核准設立","20260901033610"
"50859745","侍王國有限公司","","臺北市信義區光復南路495號7樓之2","3000000"," "," ","解散","20260901033610"
"50859750","譽想有限公司","","臺北市中山區新生北路2段68巷11-1號","6600000"," "," ","解散","20260901033610"
"50859787","魚進躍有限公司","林O成","臺北市內湖區港墘路127巷5號1樓","12000000"," "," ","核准設立","20260901033610"
"50859858","榆潤室內裝修設計有限公司","沈O","臺北市中山區建國北路3段75巷1號3樓","2000000"," "," ","核准設立","20260901033610"
"50860243","慕興國際有限公司","慕O德","新北市永和區民族街81巷56號2樓","810000"," "," ","核准設立","20260901033610"
"50860291","智信涮涮鍋有限公司","","臺北市信義區忠孝東路5段613號","1000000"," "," ","解散","20260901033610"
"50860314","裕繕工房有限公司","","臺北市士林區天母北路4巷5之1號地下1樓","1000000"," "," ","廢止","20260901033610"
"50860617","瑞米有限公司","","臺北市信義區嘉興街70之3號","1000000"," "," ","解散","20260901033610"
"50860855","小放空生活概念有限公司","","新竹縣竹北市福興路867號4樓之2","6500000"," "," ","解散","20260901033610"
"50861284","博灝國際有限公司","張O芸","花蓮縣鳳林鎮林榮里水車路7-6號1樓","100000"," "," ","核准設立","20260901033610"
"50861398","摯行國際股份有限公司","","臺北市中正區汀州路3段127號1樓"," ","2100000"," ","解散","20260901033610"
"50861741","崧禾有限公司","陳O妤","新竹縣新豐鄉忠信街176巷2弄13號1樓","100000"," "," ","核准設立","20260901033610"
"50861897","金毓通股份有限公司","江O治","臺北市內湖區行善路48巷15號6樓","2000000000","1560000000"," ","核准設立","20260901033610"
"50861931","高橋股份有限公司","周O賢","臺北市萬華區西園路1段80號4樓之5","5000000","5000000"," ","核准設立","20260901033610"
"50862018","米洋展業有限公司","","臺北市南港區東明街8號1樓","500000"," "," ","解散","20260901033610"
"50862137","寶瑩有限公司","","臺北市中正區忠孝西路1段7號6樓之6","100000"," "," ","解散","20260901033610"
"50862538","台北儂來有限公司","黃O文","臺北市中山區民生東路2段147巷11弄1號","500000"," "," ","核准設立","20260901033610"
"50863178","立薇有限公司","摩O姆沙赫札德","臺北市大同區民生西路236號2樓","500000"," "," ","核准設立","20260901033610"
"50863494","新濠有限公司","","臺北市中山區農安街34號地下1樓","1000000"," "," ","解散","20260901033610"
"50863608","傳善隨好開發有限公司","蕭O秀","臺北市松山區復興北路477號1樓","4500000"," "," ","核准設立","20260901033610"
"50863620","小禾富山設計顧問有限公司","","臺北市大安區復興南路1段321號12樓之9","1000000"," "," ","廢止","20260901033610"
"50863699","老撈有限公司","劉O志","臺北市松山區敦化北路4巷53號1樓","6250000"," "," ","核准設立","20260901033610"
"50863749","百裕泉國際有限公司","陳O琳","臺北市中山區敬業一路50號","500000"," "," ","核准設立","20260901033610"
"50863902","路易奇餐飲股份有限公司","武O傑","臺北市大安區安和路1段112巷1號1樓","150000000","56161190"," ","核准設立","20260901033610"
"50863918","風格院有限公司","","新北市汐止區福德二路79號2樓","1000000"," "," ","解散","20260901033610"
"50863924","三南奧特萊斯股份有限公司","久O 康洋","臺南市歸仁區歸仁大道101號","1300000000","900000000"," ","核准設立","20260901033610"
"50864058","吃肉肉長肉肉有限公司","王O麟","臺北市中山區八德路2段332巷16號1樓","5454500"," "," ","核准設立","20260901033610"
"50864135","伊佳伊有限公司","","臺北市松山區南京東路5段250巷9之2號","100000"," "," ","解散","20260901033610"
"50864281","伊宛面餐飲有限公司","張O瑜","臺北市松山區健康路214號1樓","200000"," "," ","核准設立","20260901033610"
"50864780","欣旺餐飲股份有限公司","張O豫","臺北市大安區忠孝東路4段178號12樓","3000000","3000000"," ","核准設立","20260901033610"
"50864923","聖夏有限公司","","臺北市中山區長安東路2段106號10樓之2","6700000"," "," ","解散","20260901033610"
"50865009","寵愛國際股份有限公司","陳O","臺北市內湖區環山路2段141號1樓","4400000","4400000"," ","核准設立","20260901033610"
"50865296","中泰大飯店股份有限公司","高O山","臺北市信義區林口街182號","28880000","28880000"," ","核准設立","20260901033610"
"50865541","鏵發有限公司","陳O霖","新北市三重區新北大道1段57巷2號(1樓)","150000"," "," ","核准設立","20260901033610"
"50865985","綠智遠科樂貿易有限公司","","臺北市內湖區洲子街12號2樓","500000"," "," ","廢止","20260901033610"
"50866056","朴媽媽有限公司","陳O珠","宜蘭縣羅東鎮中正北路131號","500000"," "," ","核准設立","20260901033610"
"50866422","一特安餐飲股份有限公司","西O晃","臺北市中正區忠孝西路1段50號23樓之19","18000000","18000000"," ","核准設立","20260901033610"
"50866437","友瑜餐飲股份有限公司","陳O瑜","臺北市松山區市民大道4段183號","5000000","5000000"," ","核准設立","20260901033610"
"50866555","話雨人文生活有限公司","吳O峯","臺北市內湖區洲子街150號3樓","6000000"," "," ","核准設立","20260901033610"
"50866632","線醫實業有限公司","張O偉","臺北市信義區忠孝東路5段242號5樓、244號5樓","1000000"," "," ","核准設立","20260901033610"
"50866653","黑鵝摩沙有限公司","賀O安","新北市新店區寶興路45巷2弄62號14樓","4300000"," "," ","核准設立","20260901033610"
"50866788","德藝方舟股份有限公司","李O","臺北市大安區忠孝東路3段303號7樓之1","500000","500000"," ","核准設立","20260901033610"
"50866859","禮萊國際酒店股份有限公司","林O婷","臺北市中山區松江路126號17樓","200000000","20000000"," ","核准設立","20260901033610"
"50866921","優橋顧問有限公司","林O晞ARBELI NIRIT","臺北市萬華區開封街2段39號1樓","600000"," "," ","核准設立","20260901033610"
"50867055","時捷國際有限公司","楊O財","新北市汐止區汐萬路3段199巷32弄6號","6000000"," "," ","核准設立","20260901033610"
"50867478","盛泰餐飲股份有限公司","林O","臺北市大安區敦化南路1段233巷15號","5000000","5000000"," ","核准設立","20260901033610"
"50867512","大衛營造有限公司","方O煌","新竹市東區綠水里光復路二段295號14樓之8","3600000"," "," ","核准設立","20260901033610"
"50867597","艾琍亞餐飲有限公司","","臺北市萬華區萬大路580號","100000"," "," ","解散","20260901033610"
"50867626","阿巴得國際有限公司","薩O ZAINUDEEN SEYATH","臺北市松山區光復北路130號","600000"," "," ","核准設立","20260901033610"
"50867858","國亨開發股份有限公司","邱O馨","臺北市松山區敦化北路139號1樓","1000000000","743000000"," ","核准設立","20260901033610"
"50867956","泊實旅館管理顧問股份有限公司","謝O","臺北市大安區仁愛路4段107號7樓","10000000","4300000"," ","核准設立","20260901033610"
"50868006","興記菜館有限公司","","臺北市信義區忠孝東路5段510號23樓之2、23樓之3","500000"," "," ","解散","20260901033610"
"50868126","老行家精品電商有限公司","","臺北市信義區基隆路1段159號16樓","500000"," "," ","廢止","20260901033610"
"50868224","新麗餐飲有限公司","","新北市板橋區江寧路3段50號","10000000"," "," ","解散","20260901033610"
